time,open,high,low,close,Volume,Volume MA
2018-05-24T00:00:00Z,577.19,612.1,550,602.18,195854.62497,146136.92312600004
2018-05-25T00:00:00Z,602.08,617.46,568.7,585.55,118076.26273,145609.17688050002
2018-05-26T00:00:00Z,585.56,607.62,578.32,586,77654.12532,141148.32514550004
2018-05-27T00:00:00Z,586.03,592,557.43,570.4,97097.26713,131791.33533800003
2018-05-28T00:00:00Z,570.81,576.2,506.11,511.5,153197.83278,132695.91716650003
2018-05-29T00:00:00Z,511.5,573.43,510,567.36,189078.4693,136532.17175250003
2018-05-30T00:00:00Z,567.09,585.83,541.2,557.19,122132.2701,137537.820291
2018-05-31T00:00:00Z,557.87,586.73,552.98,577.81,100101.52276,131695.21893350003
2018-06-01T00:00:00Z,577.81,590.26,564.93,579,83840.15431,127547.17290550002
2018-06-02T00:00:00Z,579,599.17,572.9,590.85,80258.14719,124758.96066150002
2018-06-03T00:00:00Z,590.85,628.81,590.1,619.66,84123.33235,119791.781159
2018-06-04T00:00:00Z,619.66,625.47,580.15,591.02,96339.44507,118249.192481
2018-06-05T00:00:00Z,591.02,614,570.36,609.05,89052.44417,116756.69274200001
2018-06-06T00:00:00Z,609.29,613.35,593.4,607.4,70152.92117,114928.169613
2018-06-07T00:00:00Z,606.68,618,598.24,605.16,60174.1888,112609.79589950002
2018-06-08T00:00:00Z,605.2,608.45,593.33,598.68,49228.00755,110629.75345650004
2018-06-09T00:00:00Z,599.29,608.97,591,592.87,38908.0653,108274.91967650002
2018-06-10T00:00:00Z,592.44,592.87,501.13,524.11,190350.58429,112988.19116550001
2018-06-11T00:00:00Z,524.64,535.51,508.66,531.69,145813.07819,114925.86623
2018-06-12T00:00:00Z,531.08,538.88,482,493,158223.14812,109982.79457999999
2018-06-13T00:00:00Z,493,501.97,449.06,475.47,181842.19417,109282.17303999998
2018-06-14T00:00:00Z,475.47,529,460,519.29,206093.0733,113683.01356849997
2018-06-15T00:00:00Z,519.3,521,481.62,487.48,160532.53607,117826.93410599996
2018-06-16T00:00:00Z,487.47,503.28,483.72,496.74,131095.45173,119526.84333599995
2018-06-17T00:00:00Z,496.45,507.6,492.7,497.14,117316.93221,117732.79830749994
2018-06-18T00:00:00Z,497.15,524.48,487.27,517.95,143826.68272,115470.20897849994
2018-06-19T00:00:00Z,517.77,548.2,510.01,537.97,148148.38064,116771.01450549994
2018-06-20T00:00:00Z,537.68,542.02,515.08,536.49,123891.63978,117960.52035649994
2018-06-21T00:00:00Z,536.34,544.98,521.11,526.18,79862.90544,117761.65791299993
2018-06-22T00:00:00Z,526.32,526.44,450,462.09,212659.53437,124381.72727199993
2018-06-23T00:00:00Z,462.4,481,455,473.41,94465.26834,124898.82407149994
2018-06-24T00:00:00Z,473.4,475.81,419.53,454.41,198264.10079,129995.05685749995
2018-06-25T00:00:00Z,454.29,474.47,444.37,458.7,122942.1165,131689.54047399995
2018-06-26T00:00:00Z,459.04,460.81,429,429.34,84003.09976,132382.04940349996
2018-06-27T00:00:00Z,429.81,445.95,420.19,441.64,99156.36437,134331.15818199996
2018-06-28T00:00:00Z,441.36,443.96,416.45,420.22,112309.56714,137485.23616149992
2018-06-29T00:00:00Z,420.48,442,404.48,434.77,159495.30942,143514.59836749994
2018-06-30T00:00:00Z,434.77,463.15,434.51,454.09,157169.20242,141855.5292739999
2018-07-01T00:00:00Z,454.2,457.77,443.73,452.1,111226.62846,140126.20678749992
2018-07-02T00:00:00Z,452.14,481.83,444.16,476.25,182585.11018,141344.30489049992
2018-07-03T00:00:00Z,476.32,486.98,457,461.82,186954.55478,141599.9229209999
2018-07-04T00:00:00Z,461.78,482.7,458.02,467.38,101886.20199,136389.5793554999
2018-07-05T00:00:00Z,467.19,480,458.8,467.87,125806.0083,134653.25296699992
2018-07-06T00:00:00Z,467.79,476,451.29,470.47,100428.64802,133119.91278149994
2018-07-07T00:00:00Z,470.48,487.99,461.5,485.57,83629.95382,131435.56386199992
2018-07-08T00:00:00Z,485.57,495.98,482.05,486.77,144703.13626,131479.3865389999
2018-07-09T00:00:00Z,486.55,488.98,468.2,471.71,89532.14109,128548.57456149992
2018-07-10T00:00:00Z,471.73,473.23,427.69,432.48,173640.9762,131036.04138249993
2018-07-11T00:00:00Z,432.55,452.69,424.2,444.99,159022.59726,134994.02597349993
2018-07-12T00:00:00Z,444.99,445.36,416.94,431.14,181877.07924,133454.90321699993
2018-07-13T00:00:00Z,431.14,442.47,424.62,432.46,150320.32532,136247.65606599994
2018-07-14T00:00:00Z,432.43,440,428.26,433.19,122253.69397,132447.1357249999
2018-07-15T00:00:00Z,433.2,455,430.52,449.78,140415.27048,133320.79342399992
2018-07-16T00:00:00Z,449.79,480.57,444.03,478.49,172440.71343,137742.67410749992
2018-07-17T00:00:00Z,478.49,512,465.29,498.76,215318.06761,143550.7592694999
2018-07-18T00:00:00Z,498.89,515.47,468.01,479.41,236137.8071,149742.17126749989
2018-07-19T00:00:00Z,479.4,484.15,462.57,468.57,171308.06705,150332.80914899992
2018-07-20T00:00:00Z,468.7,471.02,440,449.04,160873.38244,150518.0181499999
2018-07-21T00:00:00Z,449.04,468.97,441.18,460.23,74259.64067,148669.66876049992
2018-07-22T00:00:00Z,460.23,472.2,454.19,457.47,60684.89595,142574.6580489999
2018-07-23T00:00:00Z,457.47,469.82,447.11,450.05,106561.46081,138555.00335049993
2018-07-24T00:00:00Z,450.05,484.27,448.47,479.28,158286.759,141375.03120099992
2018-07-25T00:00:00Z,479.24,485.77,464,472.1,170475.54936,143608.50825399993
2018-07-26T00:00:00Z,472.11,485,460,462.64,173976.2192,147285.88681299993
2018-07-27T00:00:00Z,462.17,474,455.84,470.09,198304.79211,153019.62872749992
2018-07-28T00:00:00Z,470.09,472,460.82,469.29,156862.59361,153627.60159499993
2018-07-29T00:00:00Z,468.44,472,461.6,466.4,138747.56334,156088.37270749992
2018-07-30T00:00:00Z,466.4,469.79,446.1,456.23,179581.79415,156385.41360499992
2018-07-31T00:00:00Z,456.19,457.3,427,432.22,214913.57229,159179.96235649992
2018-08-01T00:00:00Z,432.2,434.99,406.55,420.41,209570.0844,160564.61261449993
2018-08-02T00:00:00Z,420.37,425.52,407.43,410.62,178421.10672,161969.65168449993
2018-08-03T00:00:00Z,410.62,420.01,396.61,417.52,201156.61154,165914.79756299994
2018-08-04T00:00:00Z,417.58,419.53,401.86,407.21,179498.57515,167868.96279649992
2018-08-05T00:00:00Z,407.21,413.24,400.16,408.79,158913.77206,167192.61572799992
2018-08-06T00:00:00Z,408.77,413.28,397.08,405.28,166496.42465,164751.53357999993
2018-08-07T00:00:00Z,405.19,412.76,369.19,378.21,207706.11078,163329.94876399994
2018-08-08T00:00:00Z,378.2,380.42,347.25,355.48,275047.10788,168516.90080549993
2018-08-09T00:00:00Z,355.48,369.9,350.51,363.3,244268.20567,172686.64196699994
2018-08-10T00:00:00Z,363.21,365.87,325.95,331.81,264274.13378,182187.36662249995
2018-08-11T00:00:00Z,331.88,332.98,304.45,317.69,335634.67243,195934.85544649995
2018-08-12T00:00:00Z,317.49,327.13,313.42,317.89,135524.79994,197383.02240299992
2018-08-13T00:00:00Z,317.96,321.99,280.68,283.81,307713.22214,204854.34555999993
2018-08-14T00:00:00Z,283.81,283.81,250,278.41,485174.37541,220589.28686249992
2018-08-15T00:00:00Z,278.47,304.45,276.3,281.12,438620.64156,233821.50798049994
2018-08-16T00:00:00Z,281.46,298.6,277.55,287.17,235665.2551,235689.53112999993
2018-08-17T00:00:00Z,286.84,318,285,317.51,342556.46068,244974.22448349994
2018-08-18T00:00:00Z,317.51,321.33,281.79,294.11,384021.38829,257237.91573099996
2018-08-19T00:00:00Z,294.1,307.4,288.2,299.42,288483.44841,262682.9984439999
2018-08-20T00:00:00Z,299.3,304.04,269.5,270.51,219153.78936,262895.00929749996
2018-08-21T00:00:00Z,270.51,285.9,269.7,281.21,224701.57671,263651.58391299995
2018-08-22T00:00:00Z,281.09,298.89,259.5,270.8,403936.78303,274927.3677284999
2018-08-23T00:00:00Z,270.68,280.3,267.55,275.99,277304.60909,278734.76760599995
2018-08-24T00:00:00Z,276.06,283.1,270.22,281.19,271850.21373,283352.3495349999
2018-08-25T00:00:00Z,281.05,282.71,275.99,277.55,253375.49477,288075.4356704999
2018-08-26T00:00:00Z,277.54,277.91,268.69,274.29,232525.9497,291376.9119229999
2018-08-27T00:00:00Z,274.17,288.15,271.59,287.71,281020.64727,295042.6387474999
2018-08-28T00:00:00Z,287.71,298,282.66,295.44,318323.28971,297206.4478389999
2018-08-29T00:00:00Z,295.44,297,283.55,288.4,324275.47324,301206.8112174999
2018-08-30T00:00:00Z,288.35,291,271.88,283.89,336993.14413,304842.7617349999
2018-08-31T00:00:00Z,283.9,289,276.59,281.41,302663.37038,303194.1966324999
2018-09-01T00:00:00Z,281.46,302,281.34,295.71,294944.4401,311165.1786404999
2018-09-02T00:00:00Z,295.8,299.33,288.87,295.41,153300.06112,303444.52058949985
